"filename", "language", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/arrow-right.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/arrow-up.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/auth-image.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/bank-transfer.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/cards.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/coins.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/connect-bank.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/credit-card.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/deposit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/dollar-circle.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/dollar.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/edit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
